,number,value,datetime_start,datetime_complete,duration,params_C,state
71,71,0.8977999999999999,2022-12-03 12:55:37.029298,2022-12-03 12:55:51.713484,0 days 00:00:14.684186,0.0032296461826785924,COMPLETE
72,72,0.8981999999999999,2022-12-03 12:55:51.713484,2022-12-03 12:56:05.779721,0 days 00:00:14.066237,0.003143236521537169,COMPLETE
73,73,0.8948,2022-12-03 12:56:05.779721,2022-12-03 12:56:14.845308,0 days 00:00:09.065587,0.0017925376389610985,COMPLETE
74,74,0.8868,2022-12-03 12:56:14.845308,2022-12-03 12:56:57.561442,0 days 00:00:42.716134,0.015687286589112656,COMPLETE
75,75,0.8964000000000001,2022-12-03 12:56:57.561442,2022-12-03 12:57:13.411662,0 days 00:00:15.850220,0.004120952767454064,COMPLETE
76,76,0.876,2022-12-03 12:57:13.411662,2022-12-03 12:57:56.509550,0 days 00:00:43.097888,0.0881061422158389,COMPLETE
77,77,0.8798,2022-12-03 12:57:56.509550,2022-12-03 12:58:39.605579,0 days 00:00:43.096029,0.04319234032916881,COMPLETE
78,78,0.8942,2022-12-03 12:58:39.605579,2022-12-03 12:59:04.730611,0 days 00:00:25.125032,0.00857386594927765,COMPLETE
79,79,0.8968,2022-12-03 12:59:04.730611,2022-12-03 12:59:17.680352,0 days 00:00:12.949741,0.0027731674380057905,COMPLETE
80,80,0.8757999999999999,2022-12-03 12:59:17.680352,2022-12-03 13:00:03.552106,0 days 00:00:45.871754,0.21957175416799707,COMPLETE
81,81,0.892,2022-12-03 13:00:03.552106,2022-12-03 13:00:11.462039,0 days 00:00:07.909933,0.0015159394831892779,COMPLETE
82,82,0.8962,2022-12-03 13:00:11.462039,2022-12-03 13:00:28.956070,0 days 00:00:17.494031,0.0052032604057370944,COMPLETE
83,83,0.8897999999999999,2022-12-03 13:00:28.956070,2022-12-03 13:01:05.472031,0 days 00:00:36.515961,0.01183212714719678,COMPLETE
84,84,0.8981999999999999,2022-12-03 13:01:05.472031,2022-12-03 13:01:21.698534,0 days 00:00:16.226503,0.0034080540254435602,COMPLETE
85,85,0.8987999999999999,2022-12-03 13:01:21.699526,2022-12-03 13:01:38.960002,0 days 00:00:17.260476,0.003465315644143164,COMPLETE
86,86,0.8938,2022-12-03 13:01:38.960988,2022-12-03 13:01:59.259339,0 days 00:00:20.298351,0.007065586764353633,COMPLETE
87,87,0.8865999999999999,2022-12-03 13:01:59.260533,2022-12-03 13:02:05.008320,0 days 00:00:05.747787,0.001011467440247316,COMPLETE
88,88,0.8954000000000001,2022-12-03 13:02:05.009319,2022-12-03 13:02:16.220632,0 days 00:00:11.211313,0.0019780680528645646,COMPLETE
89,89,0.8846,2022-12-03 13:02:16.221610,2022-12-03 13:03:04.207233,0 days 00:00:47.985623,0.02211250095511061,COMPLETE
